date,Boston,Miami,New York City,Chicago
2020-03-01,0.5850318503228311,0.5834763711290533,0.5336727907123413,0.5647934958829804
2020-03-08,0.5620293148466432,0.5812592618839895,0.5713394491584236,0.5729170384464083
2020-03-15,0.561141764951398,0.56305484240479,0.5662491138317218,0.5600558472341222
2020-03-22,0.5621928510188566,0.5645095382224552,0.5725561758373047,0.5670808698181762
2020-03-29,0.5552727053765669,0.562594083997507,0.5734475495403627,0.5713641757177668
2020-04-05,0.5612452707066743,0.5695178532236604,0.5701893216284678,0.5614611288708549
2020-04-12,0.5687657569332669,0.5736947960513312,0.5780209494784546,0.5635519304933403
2020-04-19,0.5635766846825166,0.5642234690530441,0.5853060084517391,0.5671099655779474
2020-04-26,0.5718982216573913,0.5620039177615455,0.579824177595506,0.566978436918124
2020-05-03,0.567372308606376,0.5572848586647692,0.584580169963443,0.562606291928717
2020-05-10,0.5717432589769944,0.5537072600597096,0.5853797454896414,0.5659848200831301
2020-05-17,0.5576262295407157,0.573099044937198,0.5784084516790514,0.5646301388715744
2020-05-24,0.5577388879376451,0.5714374633473482,0.5700513780173184,0.5667963517148524
2020-05-31,0.578118113522663,0.570653836849605,0.5712903424406535,0.5558259661191841
2020-06-07,0.5578680257733755,0.5707080247611142,0.5680569707547118,0.5661363021545014
2020-06-14,0.568352974462333,0.5736147618013013,0.5774657525451119,0.5659182083125068
2020-06-21,0.562964182844329,0.5774139323185447,0.5715317996159844,0.5689436440234942
2020-06-28,0.5633544447698648,0.5773152206309438,0.5802818340209857,0.5766345120878127
2020-07-05,0.5676339989819189,0.5706179335321288,0.5748844309199523,0.5687776344159085
2020-07-12,0.5697879623143197,0.5953415912262056,0.5776058035515342,0.5601254179233836
2020-07-19,0.5684103345909908,0.5697417733453614,0.5775842652296566,0.5696640296234303
2020-07-26,0.5616139771796915,0.564559691669457,0.5748978735666875,0.5637245928517164
2020-08-02,0.56719646578654,0.5726724150415482,0.5726275279148029,0.563620380781969
2020-08-09,0.5707895107992136,0.5820396700778483,0.5756719896762013,0.5512497892687016
2020-08-16,0.5622216738041,0.5480210220545773,0.5868545178621063,0.5670734911281201
2020-08-23,0.5662485082463916,0.5664557264126705,0.5877026006484767,0.5709238613519745
2020-08-30,0.5598318058243311,0.5802350237415228,0.5749611723088299,0.5561972142098339
2020-09-06,0.5693728047677731,0.554592067293264,0.5842983216599477,0.5710183153422896
2020-09-13,0.5615476358833171,0.5621569133314777,0.583817773095185,0.5685311422257607
2020-09-20,0.5522677671728521,0.5585484806376697,0.5895251964189407,0.5691104422360257
2020-09-27,0.5609486944375967,0.5750062502844301,0.57293128732921,0.5755334558844908
2020-10-04,0.5669843573622005,0.5627665932733963,0.5880021794223265,0.5705457968474386
2020-10-11,0.5822907260383584,0.5738802828819318,0.5891092538066146,0.5738630241899871
2020-10-18,0.5697079904194118,0.5683857633346405,0.588929803978445,0.5633499669499447
2020-10-25,0.5695479524498456,0.5806856141647707,0.5997969702777068,0.570645235820484
2020-11-01,0.5759869969070923,0.5511998317407609,0.5849468217263902,0.576594008337303
2020-11-08,0.5826850361649843,0.5607900066959588,0.5947842321761168,0.56383120235903
2020-11-15,0.566160060432502,0.5551857546276611,0.5906727771823272,0.5663035264025995
2020-11-22,0.5653573072691123,0.5705877417593432,0.5818056341156661,0.5810448590673085
2020-11-29,0.5709948921320658,0.5690938574847823,0.5896062667798031,0.56460801623802
2020-12-06,0.5609419471629413,0.5680814882887807,0.5790488208743011,0.5603280120143561
2020-12-13,0.573179286591176,0.5739659459127515,0.5834609645577145,0.573599026267156
2020-12-20,0.5736286140851174,0.5504771348123843,0.5878288082428441,0.5560162630727638
2020-12-27,0.5684762254161919,0.5796326188863659,0.5885247400485119,0.5581966430849914
2021-01-03,0.5885503899720749,0.5811476725720458,0.5883007299358364,0.5574797631914696
2021-01-10,0.5668344708552193,0.587261041029044,0.5835984747579472,0.5677005550246641
2021-01-17,0.586548053952039,0.5561924852386396,0.5924961660724073,0.5648001129765404
2021-01-24,0.5549488544445047,0.5686796425953734,0.602404056894728,0.562306007747396
2021-01-31,0.5856003605807334,0.575849049038727,0.5884283149455363,0.5736466163374191
2021-02-07,0.5737577961352317,0.5672783939451101,0.587978115509183,0.5565245818626942
2021-02-14,0.5727668401693907,0.5614131310812953,0.5747008430984034,0.571325450378934
2021-02-21,0.5700703717695637,0.5434695607908905,0.6058823064697676,0.5781552563981879
2021-02-28,0.5609988903207251,0.5753681922287308,0.5835097411093918,0.5729877095640625
